age,tenure_months,monthly_charges,total_usage_hours,support_calls,payment_delays,contract_type,internet_service,payment_method,churn
60,70,29.73,209.16,10,1,Yearly,Standard,Credit Card,0
29,65,77.0,58.67,3,0,Yearly,Basic,UPI,0
61,5,88.88,28.72,8,3,Yearly,Standard,Credit Card,1
53,2,148.09,,1,4,Monthly,Standard,UPI,0
65,22,41.58,246.67,8,3,Monthly,Premium,UPI,1
21,57,34.88,31.31,11,1,Two-Year,Basic,Bank Transfer,1
22,66,21.13,237.78,4,3,Two-Year,Basic,Debit Card,1
54,16,40.22,243.66,5,2,Two-Year,Premium,Credit Card,0
25,51,46.95,145.2,2,4,Monthly,Basic,Credit Card,0
59,39,101.98,18.14,3,2,Two-Year,Standard,Credit Card,1
66,40,48.56,53.2,5,2,Monthly,Standard,Bank Transfer,1
45,38,,212.52,6,5,Monthly,Premium,Bank Transfer,0
48,60,127.46,213.82,0,1,Monthly,Basic,Bank Transfer,0
26,59,67.53,269.61,6,0,Monthly,Basic,UPI,1
68,10,65.98,175.22,0,2,Monthly,Basic,Credit Card,1
46,64,59.32,38.11,4,3,Monthly,Premium,UPI,0
31,63,146.8,37.3,5,0,Monthly,Standard,Credit Card,0
57,49,42.12,216.62,1,3,Monthly,Premium,Credit Card,0
58,64,136.77,55.95,9,3,Yearly,Standard,Debit Card,0
39,32,120.98,99.19,8,0,Yearly,Premium,Credit Card,1
28,7,29.94,146.68,9,0,Monthly,Standard,Bank Transfer,1
40,21,,8.4,5,3,Monthly,Basic,Bank Transfer,1
18,20,55.28,75.4,6,1,Yearly,Basic,Bank Transfer,1
63,26,32.82,122.96,9,4,Monthly,Basic,Debit Card,0
54,68,127.81,84.61,7,5,Monthly,Premium,Debit Card,0
38,15,111.87,,10,4,Yearly,Premium,UPI,0
43,14,100.24,218.68,9,1,Two-Year,Premium,,1
63,27,40.28,244.13,0,5,Monthly,Basic,Credit Card,0
53,40,82.2,77.99,7,0,Monthly,Standard,Bank Transfer,0
40,58,121.47,232.55,3,5,Monthly,Basic,Bank Transfer,1
18,28,59.47,116.28,9,3,Yearly,Basic,Bank Transfer,0
68,26,60.52,152.5,7,4,Monthly,Standard,Bank Transfer,1
57,63,20.41,256.94,5,5,Monthly,Standard,Bank Transfer,1
32,66,42.65,225.24,10,3,Monthly,Standard,Bank Transfer,0
38,25,133.8,241.73,8,1,Two-Year,Standard,Credit Card,0
64,3,77.43,41.92,10,5,Yearly,Basic,Debit Card,1
26,72,147.95,21.85,3,3,Yearly,Premium,Bank Transfer,1
26,44,71.44,268.13,1,1,Yearly,Basic,Credit Card,0
27,42,112.97,116.96,1,0,Monthly,Standard,Bank Transfer,0
69,6,56.65,87.08,4,1,Two-Year,Premium,UPI,0
43,39,67.3,217.68,9,1,Yearly,Premium,UPI,1
58,52,44.79,251.09,8,4,Monthly,Basic,Credit Card,1
52,23,65.12,258.88,11,3,Yearly,Basic,Debit Card,1
69,50,91.14,95.48,2,5,Yearly,Basic,UPI,1
42,43,148.93,255.81,7,4,Yearly,Premium,UPI,1
43,19,106.35,13.24,3,2,Monthly,Premium,Debit Card,1
28,69,45.9,15.85,5,1,Two-Year,Premium,UPI,0
55,51,25.84,187.43,9,2,Two-Year,Standard,Bank Transfer,1
19,11,36.43,19.87,5,4,Monthly,Standard,Debit Card,0
24,12,93.13,98.06,2,3,Monthly,Basic,UPI,1
35,8,119.47,202.15,4,4,Monthly,Premium,Debit Card,1
44,24,142.25,101.84,11,3,Two-Year,Basic,,1
51,41,22.06,54.7,2,3,Yearly,Premium,UPI,0
44,36,87.96,,10,0,Monthly,Basic,,1
34,72,81.21,137.82,10,1,Monthly,Standard,UPI,0
60,55,105.29,143.14,0,4,Monthly,Premium,UPI,0
61,9,92.75,235.12,6,3,Yearly,Standard,Bank Transfer,0
68,47,109.32,225.3,3,4,Monthly,Premium,Credit Card,1
41,15,105.55,137.59,6,4,Two-Year,Basic,Credit Card,1
42,48,35.21,253.85,2,3,Yearly,Premium,Credit Card,0
24,42,123.96,35.16,11,5,Yearly,Standard,Bank Transfer,1
69,60,36.02,77.35,10,2,Monthly,Premium,Bank Transfer,0
23,70,110.81,248.56,4,1,Monthly,Basic,,0
41,12,74.1,114.02,4,1,Monthly,Premium,Bank Transfer,0
50,2,,294.37,1,5,Monthly,Standard,Bank Transfer,0
66,7,,140.41,10,0,Monthly,Basic,Credit Card,0
46,3,135.68,237.79,9,5,Two-Year,Standard,Debit Card,0
60,3,126.32,121.29,11,0,Monthly,Premium,Bank Transfer,1
39,27,86.32,128.06,1,0,Monthly,Standard,Debit Card,0
43,40,115.71,115.48,3,5,Monthly,Premium,UPI,0
45,33,86.68,216.0,3,1,Monthly,Basic,UPI,0
67,1,133.05,164.71,3,2,Two-Year,Standard,Bank Transfer,0
38,8,72.36,283.19,5,1,Monthly,Standard,UPI,1
66,32,146.13,76.02,1,1,Monthly,Premium,Debit Card,1
24,48,141.2,31.07,5,1,Yearly,Standard,UPI,1
34,4,116.41,118.59,6,5,Monthly,Standard,UPI,1
37,70,56.32,185.4,10,5,Monthly,Basic,Debit Card,1
58,19,37.11,258.38,9,5,Monthly,Premium,UPI,0
66,32,131.11,104.51,2,1,Monthly,Premium,Bank Transfer,1
37,9,,,10,2,Monthly,Basic,Debit Card,0
39,12,131.05,105.71,11,0,Monthly,Basic,Debit Card,0
45,11,83.8,185.55,7,4,Yearly,Premium,Credit Card,1
57,46,72.85,265.56,1,0,Monthly,Basic,Credit Card,1
66,16,137.41,70.18,10,0,Yearly,Basic,Debit Card,0
24,1,98.5,121.87,7,4,Yearly,Basic,Debit Card,0
18,63,94.96,297.99,10,1,Monthly,Premium,Credit Card,0
49,21,92.64,260.7,4,2,Monthly,Basic,Bank Transfer,0
30,30,68.25,169.83,1,2,Monthly,Standard,UPI,0
47,13,122.13,155.47,6,0,Yearly,Standard,UPI,0
40,34,52.86,86.1,1,4,Yearly,Premium,UPI,0
68,4,142.06,155.65,5,3,Yearly,Basic,Debit Card,0
36,28,136.22,254.61,9,1,Monthly,Standard,Bank Transfer,0
49,59,63.87,205.87,2,0,Two-Year,Premium,Credit Card,1
47,27,114.83,87.72,8,2,Monthly,Standard,Bank Transfer,0
46,69,94.52,61.24,2,5,Monthly,Basic,Bank Transfer,1
66,25,63.89,80.3,10,5,Monthly,Premium,UPI,0
62,3,148.51,51.76,11,4,Monthly,Standard,Credit Card,1
46,68,23.28,29.6,11,4,Monthly,Premium,Bank Transfer,1
47,25,52.84,126.32,2,0,Yearly,Standard,Credit Card,1
33,20,87.61,34.88,4,3,Yearly,Standard,,1
57,34,87.85,52.4,6,2,Two-Year,Basic,UPI,1
36,26,96.56,164.65,7,0,Monthly,Basic,Credit Card,0
35,5,117.72,50.22,11,3,Yearly,Standard,Debit Card,1
18,61,101.05,20.1,10,4,Monthly,Premium,Debit Card,1
31,9,,95.9,6,5,Monthly,Premium,Debit Card,1
68,50,26.96,66.88,8,1,Monthly,Basic,Bank Transfer,0
64,6,68.95,155.08,4,5,Monthly,Standard,Bank Transfer,1
67,60,50.17,31.61,9,2,Monthly,Basic,UPI,1
19,44,54.5,225.78,10,2,Monthly,Standard,UPI,0
45,11,92.06,271.96,2,5,Yearly,Standard,Debit Card,0
66,66,45.94,223.29,5,5,Two-Year,Basic,UPI,1
67,47,58.21,160.32,4,3,Monthly,Premium,Bank Transfer,1
47,3,50.82,258.34,11,0,Two-Year,Basic,UPI,1
55,30,143.31,208.78,3,4,Yearly,Standard,Credit Card,0
68,21,142.81,4.15,11,3,Monthly,Basic,Bank Transfer,1
21,28,99.29,118.83,1,1,Yearly,Premium,Debit Card,0
18,62,140.19,255.43,6,5,Monthly,Premium,Debit Card,1
25,33,122.16,104.41,4,1,Yearly,Standard,UPI,0
46,35,96.69,11.53,3,1,Yearly,Basic,Bank Transfer,1
56,52,20.84,224.11,11,3,Two-Year,Premium,Debit Card,1
20,34,120.43,240.81,7,4,Yearly,Basic,Debit Card,1
49,41,,49.02,8,2,Yearly,Premium,Bank Transfer,1
27,51,99.98,161.66,8,0,Yearly,Standard,Bank Transfer,1
27,47,118.86,58.39,2,2,Monthly,Standard,Debit Card,0
36,58,86.68,216.05,2,4,Monthly,Basic,,0
63,57,111.53,82.19,4,2,Monthly,Standard,UPI,1
51,23,141.57,95.55,4,5,Monthly,Premium,,0
50,48,68.85,253.65,9,5,Monthly,Standard,Credit Card,0
40,22,112.06,143.42,1,3,Two-Year,Premium,Bank Transfer,0
45,17,81.84,201.26,0,1,Monthly,Premium,Debit Card,0
49,69,107.67,121.31,7,4,Two-Year,Standard,Credit Card,0
67,11,119.18,90.1,2,4,Yearly,Premium,UPI,1
24,15,25.91,188.02,0,2,Yearly,Premium,Credit Card,0
46,35,104.06,47.3,0,3,Two-Year,Basic,Debit Card,1
25,33,49.48,112.53,10,2,Monthly,Basic,Debit Card,1
18,16,107.1,63.5,1,2,Two-Year,Basic,Bank Transfer,1
20,34,80.88,209.04,5,4,Monthly,Standard,UPI,1
41,66,120.56,283.32,5,2,Monthly,Basic,UPI,0
40,40,36.04,298.66,2,1,Monthly,Premium,Credit Card,0
25,28,101.42,135.63,11,2,Monthly,Standard,UPI,0
64,47,56.2,76.51,3,1,Yearly,Standard,Credit Card,1
54,39,130.89,133.41,11,4,Monthly,Standard,Debit Card,1
20,70,140.69,254.33,1,3,Monthly,Standard,Debit Card,0
68,20,149.53,62.6,1,5,Two-Year,Premium,Debit Card,0
50,1,123.48,285.68,6,1,Yearly,Premium,Debit Card,1
45,72,117.99,103.22,0,3,Monthly,Basic,Debit Card,1
64,63,48.02,295.76,6,3,Yearly,Standard,Credit Card,0
25,67,63.68,251.74,11,1,Yearly,Basic,Debit Card,1
51,4,80.54,242.76,11,4,Two-Year,Premium,Credit Card,0
52,58,120.54,96.05,0,0,Monthly,Standard,Debit Card,0
49,25,138.95,3.62,5,3,Monthly,Premium,Credit Card,1
41,47,44.59,115.26,2,3,Monthly,Basic,Credit Card,1
31,38,139.91,91.24,7,4,Monthly,Premium,Credit Card,1
49,15,110.43,12.18,5,4,Two-Year,Standard,UPI,1
63,63,99.4,,10,2,Monthly,Standard,,0
60,21,45.98,121.51,1,4,Two-Year,Basic,Credit Card,0
33,57,27.22,190.73,7,3,Monthly,Standard,Debit Card,0
21,53,93.9,186.73,4,1,Two-Year,Premium,Credit Card,0
69,46,104.7,,7,0,Monthly,Premium,Credit Card,1
54,14,47.4,293.11,7,2,Two-Year,Premium,Bank Transfer,0
38,17,92.34,56.89,5,1,Two-Year,Premium,UPI,0
31,39,131.34,134.14,1,0,Two-Year,Basic,Bank Transfer,0
48,9,128.56,146.95,7,0,Monthly,Premium,Debit Card,1
65,6,140.56,244.11,10,0,Monthly,Basic,UPI,1
35,23,67.57,30.67,5,5,Yearly,Premium,,0
24,59,61.35,129.16,5,1,Monthly,Basic,Bank Transfer,0
27,46,117.43,188.92,7,2,Monthly,Premium,UPI,1
24,38,76.04,65.33,0,2,Monthly,Premium,Bank Transfer,0
50,14,31.38,188.61,1,0,Monthly,Basic,Credit Card,0
40,72,56.76,277.18,11,1,Monthly,Standard,Bank Transfer,0
38,62,74.42,299.26,11,5,Monthly,Standard,UPI,0
36,35,58.03,10.7,8,0,Monthly,Standard,UPI,0
65,19,63.19,71.44,10,4,Monthly,Basic,Debit Card,1
36,30,58.19,93.78,11,2,Yearly,Standard,Debit Card,0
53,25,25.39,120.34,7,3,Monthly,Standard,Debit Card,1
46,40,102.82,73.43,11,0,Monthly,Basic,Debit Card,1
35,14,97.65,61.84,6,4,Two-Year,Standard,UPI,0
19,26,104.94,286.41,6,2,Two-Year,Standard,Debit Card,0
18,22,45.0,275.64,4,5,Two-Year,Standard,,1
64,48,58.44,15.05,1,1,Two-Year,Basic,Credit Card,1
22,51,100.55,102.31,10,2,Monthly,Basic,UPI,0
37,3,97.95,122.14,5,1,Yearly,Standard,,0
28,42,85.82,72.47,9,1,Monthly,Standard,UPI,0
59,19,65.55,189.03,2,5,Yearly,Basic,Debit Card,1
19,28,138.68,192.47,3,5,Monthly,Standard,UPI,0
20,45,64.17,255.3,9,0,Yearly,Basic,Debit Card,0
40,71,79.23,222.52,11,0,Monthly,Standard,Credit Card,0
29,63,108.15,163.23,10,2,Monthly,Basic,Debit Card,0
37,19,90.59,196.42,1,5,Yearly,Premium,Bank Transfer,1
22,47,65.1,82.92,1,4,Monthly,Premium,UPI,0
54,14,76.63,178.32,11,2,Monthly,Basic,UPI,1
55,38,123.28,147.28,7,3,Monthly,Premium,Bank Transfer,1
47,53,56.16,40.87,7,1,Monthly,Standard,Bank Transfer,0
26,61,38.49,73.52,9,1,Monthly,Basic,Credit Card,0
51,36,60.71,88.22,5,0,Two-Year,Basic,UPI,0
61,40,130.44,277.37,4,4,Monthly,Standard,Credit Card,1
52,30,31.57,69.89,7,5,Monthly,Standard,UPI,1
69,9,148.92,87.48,3,5,Monthly,Basic,UPI,0
39,64,90.33,111.44,10,0,Yearly,Standard,Credit Card,1
61,33,148.03,199.46,3,3,Yearly,Basic,UPI,0
41,52,142.07,36.35,4,2,Yearly,Standard,UPI,1
34,14,78.87,286.23,0,2,Yearly,Basic,Credit Card,0
27,53,45.8,259.81,0,4,Two-Year,Standard,Debit Card,1
47,59,41.44,173.59,1,0,Two-Year,Standard,Credit Card,0
63,41,51.2,202.54,7,0,Yearly,Premium,UPI,0
40,68,112.32,5.98,6,3,Monthly,Premium,Bank Transfer,0
49,68,55.48,102.34,9,2,Yearly,Premium,Debit Card,0
34,8,64.39,238.9,8,0,Monthly,Standard,Bank Transfer,0
67,2,78.34,24.17,4,5,Yearly,Basic,Debit Card,0
68,41,138.72,85.41,1,4,Yearly,Standard,Bank Transfer,0
34,55,44.62,176.0,6,2,Yearly,Premium,,0
31,16,20.65,77.67,7,3,Yearly,Standard,Credit Card,1
26,62,27.81,280.26,11,4,Monthly,Premium,Debit Card,1
57,48,137.62,40.19,6,1,Monthly,Premium,Debit Card,1
19,30,104.18,239.42,6,5,Monthly,Basic,Debit Card,1
62,12,55.5,152.88,11,3,Two-Year,Basic,UPI,1
42,35,43.04,225.35,4,4,Yearly,Premium,Bank Transfer,1
56,11,58.25,93.9,1,0,Yearly,Premium,Credit Card,1
26,64,34.92,154.83,5,1,Yearly,Standard,Bank Transfer,1
39,50,142.4,257.19,3,3,Yearly,Premium,Bank Transfer,0
60,21,121.95,140.6,9,0,Two-Year,Standard,Credit Card,0
63,69,80.11,108.56,1,5,Yearly,Premium,UPI,1
21,48,132.45,161.31,11,1,Yearly,Basic,Debit Card,0
43,20,52.43,215.49,8,2,Yearly,Basic,UPI,1
46,67,113.23,133.63,6,0,Monthly,Premium,UPI,0
62,44,131.3,281.72,5,4,Yearly,Standard,Debit Card,0
51,33,66.38,89.19,11,3,Monthly,Standard,Bank Transfer,1
40,61,118.47,143.16,4,1,Monthly,Standard,Debit Card,0
54,9,58.36,227.32,2,0,Yearly,Premium,Credit Card,0
28,68,58.85,207.05,11,2,Monthly,Premium,Debit Card,1
23,35,33.92,259.23,9,3,Two-Year,Basic,Bank Transfer,0
35,65,77.21,299.05,9,3,Monthly,Basic,UPI,1
